secondCat~2019-02-15 11:12:45.898441~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdCat~2019-02-15 11:12:47.019182~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
firstCat~2019-02-15 11:12:48.003826~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
secondCat~2019-02-15 11:14:19.603022~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
secondCat~2019-02-15 11:14:20.707585~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdCat~2019-02-15 11:14:21.644231~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
firstCat~2019-02-15 11:14:22.538616~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
firstCat~2019-02-15 11:18:23.458864~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:18:25.037213~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:18:27.382701~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:18:50.123075~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:18:56.864263~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:21:56.446721~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:21:58.652154~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
thirdDog~2019-02-15 11:22:49.982205~Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0~keep-alive~1~127.0.0.1:5000~1~text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8~en-US,en;q=0.5~gzip, deflate
